No;OBJECTID;X;Y;Name;CodeELSTAT;PopM01;PopF01;PopTot01;UnemrM01;UnemrF01;UnemrT01;PrSect01;Foreig01;Income01
19;20;583278.6024;4543942.096;AVDIRON;602;9065;9197;18262;7.19332;12.551781;9.019054;40.009308;1.664659;10893.7626
20;21;580377.6223;4570927.151;MYKIS;603;7856;8235;16091;6.741294;5.247567;6.188313;62.992652;0.062147;6619.932397
21;22;567936.8135;4540439.215;TOPEIROU;604;6213;6010;12223;4.612655;7.574153;5.673624;58.076846;1.317189;6502.769207
22;23;411331.9399;4497210.237;THESSALONIKIS;701;185771;211385;397156;5.402357;7.615427;6.336333;0.834415;7.200951;13388.72461
23;24;406156.7494;4500931.098;AMPELOKIPON - MENEMENIS;702;28255;29894;58149;6.78607;11.185607;8.424908;1.159091;5.934958;10295.34887
24;25;456817.6736;4504633.38;VOLVIS;703;12475;11979;24454;3.280525;4.666667;3.714694;34.664993;8.65707;8698.950125
25;26;393727.7869;4497183.376;DELTA;704;20454;19752;40206;6.001081;8.960898;6.984719;20.658431;7.347162;10747.37596
26;27;408649.0537;4476297.127;THERMAIKOU;705;18615;18511;37126;5.305874;8.397631;6.422553;12.182284;9.349243;12023.81937
27;28;421910.0481;4482180.694;THERMIS;706;17430;17006;34436;3.686636;6.300243;4.653253;12.871646;6.90266;13924.64678
28;29;411591.3485;4492223.766;KALAMARIAS;707;42953;47143;90096;4.652608;6.980967;5.61862;1.480707;2.722651;14271.7255
29;30;407183.8997;4503105.539;KORDELIOU - EVOSMOU;708;38148;39026;77174;6.031866;11.602793;8.085858;1.218122;4.815093;11223.7544
30;31;432839.3761;4513918.026;LAGKADA;709;19824;19336;39160;3.569243;7.82504;5.003381;25.957295;4.382022;8828.002975
31;32;413237.7664;4500333.972;NEAPOLIS - SYKEON;710;43384;45890;89274;5.913028;9.228338;7.19091;0.847579;6.62604;11302.21566
32;33;411409.9585;4503704.985;PAVLOU MELA;711;43250;44337;87587;6.366734;11.726242;8.363331;1.154857;4.978021;10877.61932
33;34;419991.7086;4496150.027;PYLAIAS - CHORTIATI;712;24579;25343;49922;4.08743;7.622526;5.505411;1.590318;4.493009;16570.16322
34;35;386412.0358;4510880.105;CHALKIDONOS;713;17419;16880;34299;4.711412;7.854008;5.720858;25.421061;6.040992;9257.263138
35;36;407624.9214;4512600.709;ORAIOKASTROU;714;12768;12194;24962;4.066489;8.39822;5.573834;9.59213;6.001122;14228.96901
36;37;346322.6825;4482415.229;VEROIAS;801;32092;33438;65530;5.415737;7.432783;6.182881;20.292905;3.314757;9969.430572
37;38;369805.5917;4494577.006;ALEXANDREIAS;802;21535;21242;42777;4.925752;6.923077;5.586524;43.03042;3.628457;9367.845149
38;39;335198.0106;4499546.921;NAOUSAS;803;16981;17183;34164;7.521429;9.782178;8.377709;30.067125;2.637279;9065.74985
39;40;407483.3785;4543639.282;KILKIS;901;27730;27020;54750;7.959249;12.578881;9.631886;20.39555;4.023818;9872.956088
40;41;374820.3888;4539620.361;PAIONIAS;902;16572;15102;31674;6.409574;10.758247;7.934726;31.595236;3.725453;8615.250773
41;42;325153.234;4518130.248;EDESSAS;1001;14583;14985;29568;5.536079;6.87004;6.03052;29.397378;3.013393;10328.83057
42;43;338365.7319;4542061.678;ALMOPIAS;1002;14448;14374;28822;3.414343;3.620026;3.489908;56.606724;2.303796;7842.985808
43;44;362969.3523;4517380.853;PELLAS;1003;32845;32002;64847;4.179576;5.234928;4.551818;42.931896;5.799806;8963.729293
44;45;345429.3072;4518738.063;SKYDRAS;1004;10380;10340;20720;4.911374;5.445227;5.106582;52.172303;5.183398;7700.217079
45;46;361513.8507;4459643.226;KATERINIS;1101;41104;42283;83387;5.571877;7.420495;6.279391;24.652368;4.472027;9404.901993
46;47;370512.4662;4440504.41;DIOU - OLYMPOU;1102;13438;12434;25872;3.367108;4.96592;3.885847;40.024104;5.276178;9307.385836
47;48;373893.635;4477864.546;PYDNAS - KOLINDROU;1103;8591;8562;17153;2.519011;4.066463;3.063895;48.856417;6.780155;7992.93997
48;49;461644.3669;4553002.36;SERRON;1201;37354;39118;76472;6.781022;9.113366;7.700063;15.660427;1.907888;8838.624722
49;50;495104.3158;4528006.08;AMFIPOLIS;1202;5846;6014;11860;6.461149;8.669202;7.249525;47.0726;2.344013;7009.9788
50;51;463350.695;4526707.197;VISALTIAS;1203;11605;11553;23158;5.41744;8.338369;6.528736;58.607969;3.03135;7945.20396
51;52;473064.0439;4544445.808;EMMANOUIL PAPPA;1204;9728;9325;19053;3.553187;4.166667;3.767865;47.674767;1.753005;7103.904861
52;53;440293.8703;4552489.761;IRAKLEIAS;1205;11300;11395;22695;5.220646;6.205971;5.585205;54.581307;1.10597;7702.959498
53;54;488312.5038;4540833.423;NEAS ZICHNIS;1206;6826;6987;13813;4.864512;6.276151;5.407035;57.756056;2.765511;7219.935905
54;55;438558.375;4570091.918;SINTIKIS;1207;13702;13730;27432;6.174161;7.086871;6.496654;38.775762;1.760782;7986.308061
55;56;451435.7366;4472526.685;POLYGYROU;1301;10959;10972;21931;3.409894;5.874409;4.256553;33.918837;6.657243;9985.949665
56;57;476424.0569;4481138.308;ARISTOTELI;1302;8910;8842;17752;7.029369;9.62963;7.758919;19.057454;3.610861;9949.272583
57;58;455782.9529;4429117.614;KASSANDRAS;1303;7771;7200;14971;6.051109;15.119048;8.665065;15.64907;18.517776;9232.707133
58;59;432385.8529;4462870.807;NEAS PROPONTIDAS;1304;15368;15029;30397;3.899926;5.895467;4.560742;27.202407;8.846268;9842.416491
59;60;485197.5132;4441737.278;SITHONIAS;1305;6004;5794;11798;11.93038;15.946349;13.127499;31.296344;6.229869;8227.782136
60;61;315823.8205;4464448.984;KOZANIS;1401;35208;35012;70220;7.692308;6.080254;7.167602;9.428216;2.352673;12772.15574
61;62;275708.35;4462437.82;VOIOU;1402;10147;10283;20430;15.130324;13.257919;14.533122;28.368794;3.024963;8226.640394
62;63;306542.5944;4487987.89;EORDAIAS;1403;23247;23308;46555;5.139348;6.011173;5.398406;6.843546;2.034241;13043.96637
63;64;327429.9342;4447105.137;SERVION - VELVENTOU;1404;8395;8339;16734;10.29525;5.161692;8.795203;30.543933;2.228995;8733.883025
64;65;274992.5862;4435876.864;GREVENON;1501;12808;12714;25522;5.477223;4.163891;5.015233;27.572169;2.966533;9237.032366
65;66;305934.7605;4422733.935;DESKATIS;1502;3537;3508;7045;5.410448;2.575588;4.398241;53.617733;2.285309;8891.511834
66;67;267551.3563;4493552.753;KASTORIAS;1601;18818;18276;37094;14.042372;18.954635;15.764364;17.261758;3.927859;9911.50949
67;68;242745.0598;4472831.897;NESTORIOU;1602;1759;1370;3129;13.16568;30.604982;18.286311;37.212276;6.263982;7677.617968
68;69;268376.8915;4476954.893;ORESTIDOS;1603;6936;6543;13479;14.939394;19.954777;16.689682;23.277291;4.065584;8545.609766
69;70;287672.2298;4519491.008;FLORINAS;1701;16698;16890;33588;5.128205;5.214425;5.158126;21.718973;3.358342;11556.60835
70;71;299919.2117;4505123.511;AMYNTAIOU;1702;9601;8756;18357;5.878253;6.816869;6.147473;30.949859;3.845944;8947.602528
71;72;257082.6792;4515666.26;PRESPON;1703;1235;929;2164;6.042296;9.567901;7.200811;64.480874;14.74122;7037.584312
72;73;232600.1509;4392525.388;IOANNITON;1801;50043;53058;103101;5.078045;7.020603;5.829585;5.275029;4.739134;11747.25789
73;74;247093.9393;4381361.927;VOREION TZOUMERKON;1802;2174;2187;4361;4.698795;6.896552;5.308964;23.253676;0.963082;10024.73099
74;75;222163.9366;4373820.742;DODONIS;1803;5272;5210;10482;6.861804;8.876404;7.464694;29.723837;1.421484;10163.27257
75;76;233068.2561;4418997.163;ZAGORIOU;1804;2188;2160;4348;6.892779;9.656652;7.826087;41.352201;4.76081;7449.295834
76;77;211499.5041;4399004.59;ZITSAS;1805;7315;7608;14923;3.050044;2.686404;2.922515;25.292137;3.812906;9906.743471
77;78;229610.4032;4448349.951;KONITSAS;1806;3980;3668;7648;4.551122;4.258443;4.463895;28.17224;6.746862;8421.408087
78;79;254641.7779;4406324.734;METSOVOU;1807;3620;3557;7177;4.918033;8.814103;5.960549;24.122207;3.023547;8782.155674
79;80;201408.3028;4424443.73;POGONIOU;1808;4614;4373;8987;5.953097;5.220884;5.726141;36.839789;12.317792;7960.399667
80;81;235805.2859;4342319.289;ARTAION;1901;21844;22292;44136;3.684916;4.294369;3.897883;25.113386;2.945441;11396.16836
81;82;262373.308;4345164.506;GEORGIOU KARAISKAKI;1902;3595;3536;7131;6.178643;2.259887;5.148515;52.922756;0.617024;6108.573218
82;83;254509.3394;4362769.918;KENTRIKON TZOUMERKON;1903;3936;3926;7862;6.6171;5.418719;6.339235;24.695122;0.8522;7092.552025
83;84;244770.5965;4334916.453;NIKOLAOU SKOUFA;1904;7323;7168;14491;3.709902;3.312746;3.578084;48.589099;3.954178;11157.84655
84;85;185371.3779;4370813.657;IGOUMENITSAS;2001;12229;11901;24130;5.620343;8.822606;6.710119;18.9669;6.373809;11206.06168
85;86;201267.6873;4371756.292;SOULIOU;2002;5124;5255;10379;2.90652;2.623688;2.809278;38.636966;2.206378;8272.693788
86;87;186276.6364;4395787.708;FILIATON;2003;4590;4502;9092;4.013705;2.35546;3.49345;45.666551;8.534976;8712.479825
87;88;215148.7859;4337503.292;PREVEZAS;2101;15039;15098;30137;4.784303;5.893271;5.191048;23.579571;7.017951;11996.39812
88;89;227356.6502;4352695.627;ZIROU;2102;7607;7803;15410;5.226481;7.01107;5.798817;30.988275;4.023361;9436.025072
89;90;200427.7392;4351193.674;PARGAS;2103;6385;6212;12597;6.842924;8.877928;7.525326;48.379164;5.834723;7978.206235
90;91;356994.891;4386799.438;LARISAION;2201;71368;74613;145981;4.286593;6.538973;5.139822;7.244547;4.265624;11793.21224
91;92;392804.5145;4396006.158;AGIAS;2202;6578;6542;13120;2.945508;3.039899;2.975472;56.900124;4.862805;7415.7966
92;93;341887.0905;4423111.927;ELASSONAS;2203;17674;17684;35358;3.176681;2.507375;2.935138;53.68586;3.13649;7601.731706
93;94;372037.4741;4375404.231;KILELER;2204;11354;11365;22719;2.125997;2.175831;2.143295;55.736337;5.752894;8939.464373
94;95;375583.4188;4410975.943;TEMPON;2205;7809;7630;15439;1.873717;2.630166;2.118423;44.190172;5.376344;8129.73061
95;96;353888.8763;4403118.781;TYRNAVOU;2206;12948;12916;25864;3.311258;3.810119;3.471041;43.202073;7.524262;8242.186064
96;97;365141.8848;4351505.774;FARSALON;2207;12022;11653;23675;2.413203;1.992928;2.276065;56.198347;8.021119;8531.132636
97;98;317485.2222;4348717.705;KARDITSAS;2301;28139;28950;57089;4.887445;4.375595;4.704569;21.224781;1.918058;10535.62227
98;99;282999.8333;4352030.342;ARGITHEAS;2302;1263;1225;2488;7.101727;2.843602;5.874317;59.071118;0.321543;6048.887084
99;100;303815.8969;4352634.032;LIMNIS PLASTIRA;2303;2010;2012;4022;3.174603;2.484472;2.96846;34.608031;1.317752;6561.738552
100;101;303244.2873;4364241.095;MOUZAKIOU;2304;8062;8345;16407;4.096942;2.5;3.575593;49.516324;1.43841;7319.147599
101;102;334724.5939;4370966.897;PALAMA;2305;9218;9282;18500;2.871223;2.578397;2.759719;68.631464;2.762162;7079.01195
102;103;334613.726;4344556.121;SOFADON;2306;10775;10984;21759;5.00571;2.446043;4.11999;66.130079;2.70233;7714.695626
103;104;405783.6401;4356716.648;VOLOU;2401;69849;73074;142923;5.041257;8.467635;6.254473;6.68381;4.551465;11928.75648
104;105;391137.1639;4330186.279;ALMYROU;2402;10193;9946;20139;5.609902;8.252033;6.480118;38.639943;9.47912;8859.143656
105;106;422193.9146;4365181.879;ZAGORAS - MOURESIOU;2403;3336;3113;6449;3.255814;3.354978;3.290469;63.47282;5.473717;6748.683511
106;107;431496.0475;4342670.285;NOTIOU PILIOU;2404;5417;5328;10745;4.301471;5.036556;4.530499;48.806999;8.990228;7329.73737
107;108;397445.494;4365538.04;RIGA FERAIOU;2405;6059;5771;11830;3.065505;5.477308;3.769705;42.735043;4.345621;9705.812326
108;109;453041.0166;4335209.911;SKIATHOU;2501;3001;2787;5788;7.579618;12.312812;8.889912;6.319515;18.693849;10289.08329
109;110;499750.2865;4343700.339;ALONNISOU;2502;1285;1140;2425;3.565891;6.632653;4.280618;22.484472;17.443299;10429.89241
110;111;473140.407;4330834.262;SKOPELOU;2503;2369;2337;4706;8.098592;10.31941;8.684381;12.420156;10.773481;10073.25641
111;112;308575.168;4386748.36;TRIKKAION;2601;38958;39859;78817;6.144079;6.345433;6.216358;19.500245;2.803964;10269.97191
112;113;286804.2984;4400933.408;KALAMPAKAS;2602;11405;11448;22853;6.538171;5.407555;6.173946;39.303754;1.872839;8504.131187
113;114;279522.6601;4373006.265;PYLIS;2603;8018;7868;15886;6.486486;5.69152;6.238922;42.079395;1.611482;10106.06275
114;115;330655.132;4385416.141;FARKADONAS;2604;7475;7658;15133;3.699106;3.69863;3.698939;61.155645;2.312979;9863.021507
115;116;358193.1821;4302932.332;LAMIEON;2701;37764;37175;74939;3.982301;5.964948;4.671632;15.288577;5.886121;12371.65377
116;117;384549.0106;4277842.424;AMFIKLEIAS - ELATEIAS;2702;6513;6511;13024;2.613525;2.829099;2.691425;42.602916;10.641892;9387.335884
117;118;354910.3021;4329789.854;DOMOKOU;2703;6798;6401;13199;2.064812;1.285485;1.793052;68.01065;6.492916;7590.490634
118;119;420458.8889;4274565.216;LOKRON;2704;11595;10823;22418;2.871761;4.373392;3.33713;39.224697;9.309483;10698.17858
119;120;329870.8713;4309527.397;MAKRAKOMIS;2705;9068;8844;17912;1.735751;2.34957;1.926851;32.363107;5.264627;8754.512875
120;121;389547.0058;4290056.973;MOLOU - AGIOU KONSTANTINOU;2706;7150;6782;13932;4.555434;7.407407;5.46305;36.097368;14.233419;9073.853801
121;122;389618.7418;4312247.252;STYLIDOS;2707;7239;6879;14118;3.809524;5.962607;4.549401;44.260506;9.116022;9093.900799
122;123;398162.1877;4251822.826;LEVADEON;2801;16066;16085;32151;4.62728;7.715477;5.685698;16.864528;5.19424;11092.95138
123;124;420395.6408;4246046.475;ALIARTOU;2802;6012;5674;11686;7.126512;9.393064;7.832546;36.605617;10.037652;9580.809008
124;125;381163.0711;4257385.055;DISTOMOU - ARACHOVAS - ANTIKYRAS;2803;4989;4813;9802;4.216867;9.065934;5.629669;8.396947;9.498062;15628.57571
125;126;430349.5495;4239342.162;THIVAION;2804;18964;17122;36086;5.439206;7.843137;6.219839;24.949971;10.275453;10865.36926
126;127;421693.5428;4260550.723;ORCHOMENOU;2805;6594;6438;13032;4.541678;6.306788;5.144108;51.096154;6.852363;10835.45922
127;128;458828.5752;4234890.795;TANAGRAS;2806;12015;9141;21156;2.954793;5.635892;3.674933;25.041356;19.157686;11230.95668
128;129;461698.5394;4255616.504;CHALKIDEON;2901;46609;46200;92809;3.797363;6.089795;4.585775;7.864911;5.642833;13130.02066
129;130;475117.2975;4273465.589;DIRFYON - MESSAPION;2902;10031;9412;19443;3.549103;3.71179;3.600497;30.266171;5.997017;9594.79381
130;131;488888.4837;4255987.967;ERETRIAS;2903;6236;5982;12218;5.261394;8.92587;6.386438;12.056562;7.177934;10771.5825
131;132;426672.0888;4308466.122;ISTIAIAS - AIDIPSOU;2904;11006;11126;22132;4.906177;6.88019;5.559189;32.202216;4.161395;8926.201158
132;133;532549.5381;4216951.754;KARYSTOU;2905;6977;6625;13602;5.805687;9.370629;6.866417;32.841823;6.345588;9704.660134
133;134;506290.5169;4259610.614;KYMIS - ALIVERIOU;2906;15624;15093;30717;4.407135;6.916427;5.14449;16.761522;5.082042;11916.71561
134;135;449543.0401;4294906.473;MANTOUDIOU - LIMNIS - AGIAS ANNAS;2907;6940;6733;13673;15.992647;12.265758;14.869029;19.215686;1.499305;8762.927768
135;136;547533.2209;4301334.988;SKYROU;2908;1549;1162;2711;3.872752;10.041841;5.405405;17.692308;4.315751;11236.55934
136;137;306353.6946;4305264.773;KARPENISIOU;3001;6048;6280;12328;6.772761;6.7659;6.770335;15.550423;2.328034;11146.90101
137;138;290463.8088;4327590.106;AGRAFON;3002;3788;3402;7190;3.456221;3.265306;3.399433;51.948052;2.739917;7051.83592
138;139;359123.8113;4268379.67;DELFON;3101;13500;13492;26992;5.320513;7.630522;6.068487;14.317028;7.213248;11307.65866
139;140;334815.0237;4264910.711;DORIDOS;3102;5594;5280;10874;5.154639;9.550562;6.448413;26.758572;5.821225;8862.16138
140;141;142498.4242;4395933.782;KERKYRAS;3201;53006;55646;108652;10.313475;15.473552;12.317644;15.523418;8.276884;11126.87331
141;142;169499.5192;4345205.257;PAXON;3202;1258;1171;2429;5.092593;10.42471;6.615215;25.029516;12.927131;8981.63753
142;143;215856.1381;4186377.647;ZAKYNTHOU;3301;19878;19005;38883;7.791842;15.431436;10.41782;28.121995;13.219145;9988.949414
143;144;214395.4589;4255471.734;ITHAKIS;3401;1604;1608;3212;8.062419;6.666667;7.630162;21.865889;10.180573;10848.91339
144;145;200424.9307;4236065.251;KEFALONIAS;3501;17444;17100;34544;6.465733;11.396621;8.164604;16.531286;9.315655;10762.93698
145;146;210476.1753;4288271.635;LEVKADAS;3601;10541;10353;20894;3.270544;4.501358;3.698704;20.297168;6.868;11070.81183
146;147;218558.4469;4282452.952;MEGANISIOU;3602;488;506;994;4.109589;0;3.076923;29.62963;3.31992;8399.15
147;148;306893.7829;4231791.771;PATREON;3701;104429;106065;210494;7.613916;9.985632;8.493895;2.567481;5.301864;12699.73293
148;149;336868.1974;4224117.914;AIGIALEIAS;3702;27085;26500;53585;5.257072;6.934089;5.828548;26.769912;7.423719;10101.16535
149;150;282184.9414;4215825.527;DYTIKIS ACHAIAS;3703;15890;13718;29608;10.332525;12.752613;11.03574;41.800387;6.349635;8667.022944
150;151;303901.8209;4210591.994;ERYMANTHOU;3704;6003;5326;11329;9.064112;12.488522;10.044702;42.385267;1.315209;6722.157048
151;152;328520.3023;4202990.401;KALAVRYTON;3705;7311;6601;13912;5.396057;9.595559;6.671484;37.23871;2.717079;7753.584266
152;153;266219.8268;4255421.243;IERAS POLIS MESOLOGGIOU;3801;18180;17625;35805;4.350308;5.522352;4.729155;40.660232;4.130708;9101.784044
153;154;235198.0725;4301252.475;AKTIOU - VONITSAS;3802;9164;8708;17872;3.064624;3.804348;3.294009;52.281369;3.97829;7343.168771
154;155;278365.0256;4281061.112;AGRINIOU;3803;48334;48555;96889;4.812212;5.270864;4.965232;29.615408;2.318117;10180.43108
155;156;264641.3619;4315185.377;AMFILOCHIAS;3804;10411;10080;20491;2.842063;3.770739;3.109183;50.880597;2.357132;7407.616034
156;157;298995.7713;4274243.178;THERMOU;3805;3979;3858;7837;5.630355;8.108108;6.319046;40.04717;2.284037;7101.793614
157;158;310348.1177;4266799.276;NAFPAKTIAS;3806;13534;13306;26840;5.447209;7.208944;5.982206;16.361599;5.681818;10082.5818
158;159;248379.458;4278493.602;XIROMEROU;3807;6818;6540;13358;3.235561;3.648425;3.381548;67.8333;2.672556;7435.687056
159;160;278370.4522;4175934.555;PYRGOU;3901;25975;25659;51634;5.991046;7.74118;6.564108;26.050272;4.502847;10513.65213
160;161;275492.5793;4190283.039;ILIDAS;3902;18888;17387;36275;8.571111;10.936746;9.316298;32.053002;6.042729;9537.223848
161;162;264870.8948;4204570.69;ANDRAVIDAS - KYLLINIS;3903;12732;11936;24668;8.295294;8.518277;8.367845;44.060725;10.791309;8922.910571
162;163;303387.857;4157685.388;ANDRITSAINAS - KRESTENON;3904;10804;10335;21139;5.718702;7.521896;6.25966;43.198681;2.37487;7529.754975
163;164;299134.9998;4181415.591;ARCHAIAS OLYMPIAS;3905;8438;7993;16431;5.368361;6.80593;5.796229;41.260379;3.481225;7360.044866
164;165;298682.7547;4148675.919;ZACHAROS;3906;7159;6557;13716;7.839326;9.95935;8.525093;42.81265;7.771945;8561.815567
165;166;258544.1069;4194240.63;PINEIOU;3907;10089;9569;19658;9.102816;10.749646;9.623993;38.35232;6.597823;8745.057899
166;167;353668.3072;4155043.02;TRIPOLIS;4001;25282;23286;48568;4.029114;5.674653;4.612804;17.467761;5.205073;12663.68289
167;168;379857.1267;4134958.913;VOREIAS KYNOURIAS;4002;6017;5572;11589;4.468242;5.297474;4.726811;33.688984;3.115023;8687.94206
168;169;324094.7229;4171882.991;GORTYNIAS;4003;6546;5946;12492;3.73913;6.087937;4.392846;33.86938;1.953719;7934.747765
169;170;333032.4385;4136068.015;MEGALOPOLIS;4004;5709;5335;11044;4.730564;5.779154;5.029412;14.152989;4.128939;12944.74137
170;171;393588.7795;4110978.946;NOTIAS KYNOURIAS;4005;3946;3687;7633;4.605263;4.185022;4.465593;47.43295;3.104939;8672.125241
171;172;405232.6207;4161641.889;NAFPLIEON;4101;15957;15650;31607;4.18544;6.829;5.224525;30.265756;8.890436;11534.49906
172;173;378602.6827;4169075.406;ARGOUS - MYKINON;4102;24215;23530;47745;5.001189;7.736145;5.978814;29.070523;7.359933;9582.188937
173;174;417874.7879;4162962.655;EPIDAVROU;4103;4398;4312;8710;2.479711;4.854369;3.329473;52.111411;7.761194;8169.299538
174;175;430720.2153;4142197.825;ERMIONIDAS;4104;7514;6816;14330;5.572289;9.560117;6.767446;25.659879;14.780181;8996.95022
175;176;406860.2016;4185476.317;KORINTHION;4201;29289;29234;58523;3.447179;6.04074;4.36019;22.881027;10.527485;11896.61317
176;177;389176.8019;4196844.546;VELOU - VOCHAS;4202;8876;8375;17251;2.332423;3.774335;2.831226;45.304102;9.413947;9574.161074
177;178;414459.3018;4205210.28;LOUTRAKIOU - AGION THEODORON;4203;9933;10107;20040;5.635167;9.062281;6.856146;6.852248;9.631219;11940.52195
178;179;381179.2888;4187382.291;NEMEAS;4204;3773;3513;7286;0.734956;0.566343;0.673894;66.371681;10.156464;7689.421102
179;180;367443.0866;4210794.583;XYLOKASTROU - EVROSTINIS;4205;9161;9063;18224;2.877238;4.548789;3.491507;46.38916;7.753512;9600.666543
180;181;365066.3807;4197489.516;SIKYONION;4206;11724;11479;23203;2.135348;3.521127;2.645777;43.056592;7.249063;9188.499391
181;182;362373.2843;4108247.515;SPARTIS;4301;18436;18104;36540;2.201327;3.18915;2.573124;34.49692;6.779058;10769.10264
182;183;361352.1952;4059620.247;ANATOLIKIS MANIS;4302;7524;6784;14308;4.728341;6.00907;5.165409;39.820481;11.469108;9033.625889
183;184;406941.1244;4038331.533;ELAFONISOU;4303;390;356;746;7.428571;2.857143;6.122449;36.956522;8.847185;8778.104036
184;185;384703.9039;4087730.851;EVROTA;4304;10157;9162;19319;2.600141;2.831325;2.685308;67.480046;11.460221;7192.308026
185;186;408109.5687;4065070.455;MONEMVASIAS;4305;10994;10904;21898;4.448706;4.403101;4.43128;55.393008;7.827199;8127.118396
186;187;334178.1864;4107577.615;KALAMATAS;4401;34611;35395;70006;5.246914;7.162676;5.956961;10.481552;5.017;12338.16041
187;188;346861.6048;4085965.633;DYTIKIS MANIS;4402;3452;3206;6658;6.28707;6.507592;6.365031;55.569206;13.59267;7431.348413
188;189;312513.3808;4102759.543;MESSINIS;4403;13207;12652;25859;4.384432;5.253889;4.689755;51.205796;6.558645;7839.114314
189;190;317436.3175;4130683.2;OICHALIAS;4404;5952;5729;11681;2.503975;2.838221;2.602855;42.586207;7.208287;8012.720158
190;191;302049.3929;4087565.953;PYLOU - NESTOROS;4405;10851;10321;21172;4.413974;5.601375;4.833617;60.579377;9.441715;7128.254242
191;192;296615.0533;4120424.631;TRIFYLIAS;4406;15937;15253;31190;2.546668;2.761905;2.620229;49.669926;13.82815;9953.122462
192;193;476676.8701;4204338.253;ATHINAION;4501;374900;414266;789166;4.890244;6.640842;5.624998;0.515649;17.426785;14497.39354
193;194;480407.0012;4199965.945;VYRONOS;4502;31020;33641;64661;4.761905;7.877267;6.080016;0.463182;7.36147;13966.46441
194;195;478553.3073;4207692.704;GALATSIOU;4503;30643;32775;63418;3.688645;5.959929;4.621528;0.491463;5.509564;14465.66493
195;196;476996.0663;4200077.379;DAFNIS - YMITTOU;4504;17579;19225;36804;4.785302;6.600711;5.52713;0.367745;11.146436;13689.64894
196;197;481609.9311;4202738.015;ZOGRAFOU;4505;37917;43518;81435;3.571059;4.275941;3.888003;0.302285;8.205619;14776.12145
197;198;479645.4081;4197931.282;ILIOUPOLEOS;4506;39045;41979;81024;4.67469;7.664824;5.917458;0.425861;5.025733;14933.37738
198;199;481637.0386;4201132.155;KAISARIANIS;4507;12665;14528;27193;4.022562;4.797877;4.348947;0.278552;8.244769;13417.32821
199;200;476909.8633;4209991.686;FILADELFEIAS - CHALKIDONOS;4508;16994;18613;35607;4.012145;5.806349;4.738235;0.467575;8.043588;13782.75153
200;201;482797.521;4210691.062;AMAROUSIOU;4601;33519;38032;71551;3.300068;5.719907;4.380707;0.633389;5.664887;18932.91138
201;202;484634.6874;4206429.566;AGIAS PARASKEVIS;4602;28494;31571;60065;2.316733;3.858038;3.008167;0.517554;5.355954;19938.12926
